account_id,role,opened_date,country
ACC0128,fraud_mule,2024-03-08,PH
ACC0129,fraud_mule,2024-05-04,PH
ACC0130,fraud_mule,2025-02-17,NG
ACC0131,fraud_mule,2024-04-07,US
ACC0132,fraud_mule,2024-02-19,NG
ACC0133,fraud_mule,2024-06-30,NG
ACC0134,fraud_mule,2024-07-29,PH
ACC0135,fraud_mule,2025-03-18,US
ACC0136,fraud_mule,2024-12-10,US
ACC0137,fraud_mule,2024-02-01,NG
ACC0138,fraud_mule,2025-01-07,IN
ACC0139,fraud_mule,2025-02-13,US
ACC0140,fraud_mule,2024-05-07,UK
ACC0141,fraud_mule,2024-04-07,BR
ACC0142,fraud_mule,2024-08-17,US
ACC0143,fraud_mule,2024-08-04,US
ACC0144,fraud_mule,2024-05-22,PH
ACC0145,fraud_mule,2024-05-07,US
ACC0146,fraud_collector,2024-08-14,BR
ACC0147,fraud_collector,2024-02-20,US
ACC0148,fraud_collector,2024-11-29,BR
ACC0149,fraud_collector,2025-03-04,US
ACC0150,fraud_collector,2025-05-11,US
